,level_0,index,Rooms,Date,Distance,Bedroom2,Bathroom,Car,Landsize,BuildingArea,YearBuilt,Lattitude,Longtitude,Type(h),Type(t),Type(u),Method(S),Method(SP),Method(PI),Method(VB),Method(SA),big,medium,small,Price
2657,4662,4662,2,2016,9.9,2.0,1.0,1.0,110.0,91.0,2013.0,-37.7282,144.928,0,1,0,0,1,0,0,0,0,0,1,591600.0
2658,4663,4663,3,2017,9.9,3.0,2.0,2.0,540.0,146.0,1999.0,-37.7174,144.941,1,0,0,0,0,0,1,0,1,0,0,817500.0000000001
2659,4664,4664,4,2017,9.9,4.0,2.0,2.0,250.0,194.0,1983.0,-37.7319,144.9461,1,0,0,0,0,0,1,0,1,0,0,895980.0000000001
2660,4668,4668,3,2016,9.9,3.0,2.0,1.0,146.0,106.0,2006.0,-37.7152,144.9346,0,1,0,0,0,0,0,1,0,0,1,498799.99999999994
2661,4669,4669,4,2016,9.9,4.0,2.0,2.0,646.0,287.0,1995.0,-37.7256,144.9383,1,0,0,1,0,0,0,0,1,0,0,1566000.0
2662,4672,4672,2,2016,9.9,2.0,1.0,1.0,783.0,94.0,1950.0,-37.7196,144.9485,1,0,0,0,1,0,0,0,0,1,0,939599.9999999999
2663,4674,4674,2,2016,9.9,2.0,1.0,2.0,135.0,100.0,2012.0,-37.7242,144.9411,0,1,0,0,1,0,0,0,1,0,0,638580.0
2664,4675,4675,2,2016,9.9,2.0,1.0,1.0,169.0,109.0,1995.0,-37.7186,144.9306,0,1,0,0,1,0,0,0,1,0,0,707600.0
2665,4677,4677,3,2016,9.9,3.0,2.0,2.0,197.0,111.0,2007.0,-37.7266,144.9496,0,0,1,0,0,0,1,0,0,1,0,618280.0
2666,4679,4679,2,2016,9.9,2.0,1.0,1.0,105.0,88.0,2014.0,-37.7233,144.9507,0,1,0,0,0,0,0,1,0,1,0,475599.99999999994
2667,4680,4680,3,2016,9.9,3.0,1.0,4.0,557.0,111.0,1955.0,-37.7156,144.943,1,0,0,1,0,0,0,0,0,0,1,696000.0
2668,4681,4681,3,2016,9.9,3.0,1.0,1.0,190.0,108.0,1970.0,-37.7211,144.9508,1,0,0,0,1,0,0,0,1,0,0,714560.0
2669,4683,4683,3,2017,9.9,3.0,1.0,2.0,641.0,111.0,1950.0,-37.7253,144.938,1,0,0,0,1,0,0,0,1,0,0,1046400.0000000001
2670,4684,4684,4,2017,9.9,4.0,2.0,2.0,511.0,182.0,2007.0,-37.7268,144.9401,1,0,0,0,0,0,1,0,1,0,0,1073650.0
2671,4686,4686,3,2017,9.9,3.0,1.0,1.0,596.0,145.0,1949.0,-37.721,144.9514,1,0,0,0,1,0,0,0,1,0,0,730300.0
2672,4688,4688,4,2016,9.9,4.0,2.0,2.0,148.0,141.0,2001.0,-37.7231,144.9482,0,1,0,0,0,0,1,0,0,0,1,771400.0
2673,4690,4690,3,2016,9.9,3.0,2.0,2.0,588.0,106.0,1960.0,-37.7283,144.9356,1,0,0,0,1,0,0,0,1,0,0,1020799.9999999999
2674,4691,4691,3,2016,9.9,3.0,1.0,2.0,449.0,104.0,1950.0,-37.7286,144.9456,1,0,0,0,1,0,0,0,1,0,0,812000.0
2675,4692,4692,3,2016,9.9,3.0,2.0,1.0,122.0,139.0,1998.0,-37.7231,144.9373,0,1,0,0,0,0,0,1,1,0,0,696000.0
2676,4696,4696,2,2016,9.9,2.0,1.0,1.0,746.0,265.0,1950.0,-37.7304,144.9496,1,0,0,0,1,0,0,0,1,0,0,1821199.9999999998
2677,4697,4697,2,2016,9.9,2.0,1.0,1.0,111.0,84.0,2000.0,-37.7261,144.9336,1,0,0,0,1,0,0,0,0,0,1,609580.0
2678,4698,4698,3,2016,9.9,3.0,1.0,1.0,522.0,132.0,1950.0,-37.7187,144.9514,1,0,0,0,1,0,0,0,0,1,0,710500.0
2679,4699,4699,1,2016,9.9,1.0,1.0,1.0,49.0,49.0,1970.0,-37.7152,144.9402,0,0,1,0,1,0,0,0,0,1,0,288260.0
2680,4700,4700,3,2016,9.9,3.0,2.0,2.0,501.0,501.0,1960.0,-37.7258,144.9347,1,0,0,0,1,0,0,0,0,1,0,1113600.0
2681,4703,4703,4,2016,9.9,4.0,1.0,2.0,410.0,141.0,1940.0,-37.7346,144.9456,1,0,0,0,0,0,1,0,1,0,0,754000.0
2682,4706,4706,3,2016,9.9,3.0,1.0,2.0,191.0,92.0,2013.0,-37.7168,144.9329,1,0,0,0,0,0,0,1,1,0,0,580000.0
2683,4708,4708,3,2016,9.9,3.0,1.0,1.0,534.0,100.0,1950.0,-37.7215,144.951,1,0,0,0,0,0,1,0,1,0,0,694840.0
2684,4712,4712,3,2016,3.8,3.0,2.0,1.0,1963.0790960451975,134.0,1990.0,-37.8359,144.9342,1,0,0,0,1,0,0,0,0,1,0,1334000.0
2685,4713,4713,3,2016,3.8,3.0,1.0,0.0,171.0,167.0,1890.0,-37.8385,144.9409,1,0,0,0,1,0,0,0,0,1,0,1142600.0
2686,4714,4714,3,2016,3.8,3.0,2.0,2.0,1963.0790960451975,139.0,2012.0,-37.841,144.9379,0,0,1,0,0,0,1,0,0,0,1,1392000.0
2687,4716,4716,3,2016,3.8,3.0,2.0,0.0,250.0,280.0,1863.0,-37.8381,144.9391,1,0,0,0,1,0,0,0,0,1,0,2552000.0
2688,4717,4717,4,2016,3.8,4.0,2.0,3.0,611.0,181.0,1940.0,-37.8349,144.9266,1,0,0,0,1,0,0,0,0,1,0,2441800.0
2689,4718,4718,2,2016,3.8,2.0,1.0,1.0,1963.0790960451975,57.0,2012.0,-37.8408,144.94,0,0,1,0,1,0,0,0,0,1,0,638000.0
2690,4721,4721,4,2017,3.8,4.0,3.0,1.0,323.0,237.0,1935.0,-37.8371,144.921,1,0,0,0,1,0,0,0,0,1,0,2087350.0000000002
2691,4722,4722,3,2017,3.8,3.0,2.0,2.0,135.0,135.0,1997.0,-37.8395,144.9343,1,0,0,0,1,0,0,0,0,1,0,1776700.0000000002
2692,4723,4723,2,2016,3.8,2.0,2.0,0.0,96.0,108.0,1890.0,-37.8327,144.9474,1,0,0,0,1,0,0,0,0,1,0,1160000.0
2693,4724,4724,3,2016,3.8,3.0,1.0,0.0,153.0,109.0,1880.0,-37.8382,144.9469,1,0,0,0,1,0,0,0,0,1,0,1705199.9999999998
2694,4725,4725,2,2016,3.8,2.0,2.0,2.0,1963.0790960451975,87.0,2010.0,-37.8431,144.9403,0,0,1,0,0,0,0,1,0,1,0,841000.0
2695,4726,4726,2,2016,3.8,3.0,1.0,0.0,183.0,185.0,1963.0790960451975,-37.8329,144.9375,1,0,0,0,1,0,0,0,1,0,0,1432020.0
2696,4727,4727,2,2016,3.8,2.0,1.0,1.0,1963.0790960451975,74.0,2005.0,-37.8424,144.9449,0,0,1,0,0,0,0,1,0,1,0,696000.0
2697,4728,4728,3,2016,3.8,3.0,2.0,2.0,173.0,137.0,1900.0,-37.8375,144.941,1,0,0,0,1,0,0,0,0,1,0,1556720.0
2698,4729,4729,1,2016,3.8,1.0,1.0,1.0,1963.0790960451975,60.0,2006.0,-37.8416,144.939,0,0,1,0,1,0,0,0,0,1,0,580000.0
2699,4730,4730,2,2016,3.8,2.0,2.0,1.0,579.0,84.0,2013.0,-37.8416,144.9381,0,0,1,0,1,0,0,0,0,1,0,922199.9999999999
2700,4731,4731,2,2016,3.8,2.0,2.0,1.0,1963.0790960451975,70.0,2012.0,-37.8404,144.9391,0,0,1,0,0,0,0,1,0,1,0,684400.0
2701,4733,4733,2,2016,3.8,2.0,2.0,1.0,1963.0790960451975,110.0,2006.0,-37.8392,144.9257,0,0,1,0,0,0,1,0,0,1,0,1276000.0
2702,4737,4737,2,2016,3.8,2.0,2.0,1.0,115.0,115.0,2015.0,-37.8351,144.9441,1,0,0,0,1,0,0,0,0,1,0,1479000.0
2703,4738,4738,2,2016,3.8,2.0,1.0,1.0,90.0,106.0,2007.0,-37.8357,144.9376,1,0,0,0,0,0,0,1,0,1,0,1160000.0
2704,4739,4739,4,2016,3.8,4.0,2.0,1.0,212.0,158.0,1900.0,-37.8331,144.9412,1,0,0,0,1,0,0,0,0,1,0,2111200.0
2705,4744,4744,2,2016,3.8,2.0,2.0,1.0,1963.0790960451975,83.0,2000.0,-37.8392,144.9421,0,0,1,0,1,0,0,0,0,1,0,759800.0
2706,4746,4746,2,2016,3.8,2.0,1.0,1.0,195.0,94.0,1900.0,-37.8395,144.9462,1,0,0,0,1,0,0,0,0,1,0,1566000.0
2707,4747,4747,3,2016,3.8,3.0,2.0,2.0,241.0,131.0,1900.0,-37.8346,144.9448,1,0,0,0,1,0,0,0,0,1,0,1809599.9999999998
2708,4750,4750,2,2016,3.8,2.0,1.0,0.0,106.0,70.0,1910.0,-37.8346,144.9373,1,0,0,0,1,0,0,0,1,0,0,1229600.0
2709,4751,4751,2,2016,3.8,2.0,2.0,2.0,1963.0790960451975,104.0,2007.0,-37.8392,144.9257,0,0,1,0,1,0,0,0,0,1,0,1867599.9999999998
2710,4752,4752,2,2016,3.8,2.0,1.0,0.0,152.0,71.0,1910.0,-37.8393,144.9386,1,0,0,0,1,0,0,0,0,1,0,1277160.0
2711,4753,4753,2,2016,3.8,2.0,1.0,2.0,163.0,83.0,1980.0,-37.8359,144.9358,1,0,0,0,1,0,0,0,0,1,0,1020799.9999999999
2712,4755,4755,2,2016,3.8,2.0,1.0,0.0,105.0,70.0,1910.0,-37.8338,144.9474,1,0,0,0,1,0,0,0,0,0,1,1252800.0
2713,4756,4756,2,2016,3.8,2.0,1.0,0.0,120.0,76.0,1900.0,-37.8322,144.947,1,0,0,0,1,0,0,0,0,1,0,1293400.0
2714,4757,4757,2,2016,3.8,2.0,1.0,1.0,1963.0790960451975,70.0,2004.0,-37.8407,144.9389,0,0,1,0,0,0,1,0,0,1,0,598560.0
2715,4758,4758,3,2016,3.8,3.0,2.0,1.0,225.0,153.0,1910.0,-37.8381,144.9329,1,0,0,0,1,0,0,0,0,0,1,2033479.9999999998
2716,4761,4761,2,2016,3.8,2.0,1.0,0.0,124.0,70.0,1900.0,-37.8356,144.9439,1,0,0,0,0,0,1,0,0,1,0,1043999.9999999999
2717,4762,4762,5,2016,3.8,5.0,1.0,2.0,350.0,173.0,1890.0,-37.8407,144.9424,1,0,0,0,1,0,0,0,1,0,0,2726000.0
2718,4764,4764,3,2016,3.8,3.0,2.0,1.0,140.0,169.0,1880.0,-37.8353,144.9442,1,0,0,0,1,0,0,0,0,1,0,1937199.9999999998
2719,4765,4765,3,2016,3.8,3.0,1.0,0.0,108.0,106.0,1900.0,-37.8332,144.945,1,0,0,0,1,0,0,0,0,1,0,1626320.0
2720,4766,4766,3,2016,3.8,3.0,2.0,1.0,210.0,211.0,1999.0,-37.8382,144.9272,1,0,0,0,1,0,0,0,0,1,0,1821199.9999999998
2721,4769,4769,2,2017,3.8,2.0,1.0,0.0,82.0,90.0,1910.0,-37.8361,144.9403,1,0,0,0,1,0,0,0,0,1,0,1253500.0
2722,4772,4772,3,2016,3.8,3.0,1.0,0.0,184.0,100.0,1905.0,-37.8348,144.9443,1,0,0,0,1,0,0,0,0,1,0,1605440.0
2723,4774,4774,2,2016,3.8,2.0,1.0,1.0,1963.0790960451975,86.0,2006.0,-37.8416,144.939,0,0,1,0,1,0,0,0,0,1,0,759800.0
2724,4775,4775,1,2016,3.8,1.0,1.0,1.0,1963.0790960451975,63.0,2007.0,-37.8405,144.9385,0,0,1,0,0,0,1,0,1,0,0,528960.0
2725,4776,4776,3,2016,3.8,3.0,2.0,2.0,1963.0790960451975,450.0,1963.0790960451975,-37.842,144.9364,0,0,1,0,1,0,0,0,0,1,0,2621600.0
2726,4781,4781,2,2016,3.8,1.0,1.0,1.0,1963.0790960451975,70.0,2005.0,-37.8407,144.9389,0,0,1,0,1,0,0,0,1,0,0,603200.0
2727,4783,4783,1,2016,3.8,1.0,1.0,1.0,1963.0790960451975,62.0,2000.0,-37.8436,144.944,0,0,1,0,0,0,1,0,0,0,1,545200.0
2728,4784,4784,2,2016,3.8,2.0,1.0,1.0,1963.0790960451975,72.0,1996.0,-37.8398,144.9404,0,0,1,0,0,0,0,1,0,1,0,696000.0
2729,4785,4785,2,2016,3.8,2.0,1.0,1.0,1963.0790960451975,71.0,2006.0,-37.8424,144.9449,0,0,1,0,1,0,0,0,0,1,0,777200.0
2730,4792,4792,2,2017,3.8,2.0,1.0,1.0,168.0,102.0,1934.0,-37.8346,144.9453,1,0,0,0,1,0,0,0,0,1,0,1526000.0
2731,4793,4793,3,2017,3.8,3.0,2.0,1.0,1963.0790960451975,160.0,2016.0,-37.8363,144.9336,1,0,0,1,0,0,0,0,0,1,0,1656800.0000000002
2732,4795,4795,1,2017,3.8,1.0,1.0,1.0,6866.0,63.0,2010.0,-37.8443,144.9437,0,0,1,0,1,0,0,0,0,1,0,654000.0
2733,4798,4798,3,2016,3.8,3.0,2.0,2.0,5042.0,102.0,1995.0,-37.8405,144.9319,0,0,1,0,1,0,0,0,0,1,0,2853600.0
2734,4800,4800,3,2016,3.8,3.0,2.0,2.0,214.0,241.0,2014.0,-37.8341,144.9458,1,0,0,0,1,0,0,0,0,1,0,4297800.0
2735,4802,4802,3,2016,3.8,3.0,2.0,2.0,1963.0790960451975,134.0,2012.0,-37.8317,144.9446,0,1,0,1,0,0,0,0,0,0,1,1102000.0
2736,4803,4803,3,2016,3.8,3.0,1.0,1.0,114.0,138.0,1990.0,-37.8371,144.939,1,0,0,0,1,0,0,0,1,0,0,1566000.0
2737,4805,4805,2,2016,3.8,2.0,1.0,1.0,1963.0790960451975,100.0,2000.0,-37.8424,144.9449,0,0,1,0,1,0,0,0,0,1,0,852599.9999999999
2738,4806,4806,1,2016,3.8,1.0,1.0,1.0,1963.0790960451975,64.0,2000.0,-37.8392,144.9421,0,0,1,0,0,0,0,1,0,1,0,463999.99999999994
2739,4807,4807,2,2016,3.8,2.0,1.0,2.0,1963.0790960451975,94.0,1997.0,-37.8426,144.9398,0,0,1,0,1,0,0,0,0,1,0,1043999.9999999999
2740,4809,4809,4,2016,3.8,3.0,3.0,2.0,232.0,230.0,1963.0790960451975,-37.8392,144.9378,1,0,0,0,1,0,0,0,0,1,0,2505600.0
2741,4810,4810,3,2016,3.8,3.0,1.0,0.0,1963.0790960451975,134.0,1890.0,-37.8373,144.9397,1,0,0,0,1,0,0,0,0,1,0,1600800.0
2742,4811,4811,3,2016,3.8,3.0,1.0,2.0,116.0,95.0,1910.0,-37.8401,144.943,1,0,0,0,1,0,0,0,0,1,0,1252800.0
2743,4814,4814,1,2016,4.5,1.0,1.0,1.0,1934.736111111111,34.0,1960.0,-37.8486,144.9872,0,0,1,0,1,0,0,0,1,0,0,396720.0
2744,4815,4815,2,2016,4.5,2.0,1.0,1.0,88.0,121.0,2000.0,-37.8503,144.9913,1,0,0,1,0,0,0,0,1,0,0,1102000.0
2745,4816,4816,2,2016,4.5,2.0,1.0,1.0,1934.736111111111,73.0,1930.0,-37.8511,145.0029,0,0,1,0,1,0,0,0,0,0,1,905959.9999999999
2746,4817,4817,1,2016,4.5,1.0,1.0,1.0,1934.736111111111,51.0,2012.0,-37.8519,144.9948,0,0,1,0,1,0,0,0,1,0,0,637768.0
2747,4818,4818,1,2017,4.5,1.0,1.0,1.0,1768.0,45.0,1888.0,-37.851,144.988,0,0,1,0,1,0,0,0,1,0,0,536280.0
2748,4819,4819,1,2017,4.5,1.0,1.0,1.0,1934.736111111111,64.0,1945.0,-37.857,145.0027,0,0,1,0,1,0,0,0,0,1,0,545545.0
2749,4821,4821,3,2016,4.5,3.0,2.0,2.0,1934.736111111111,136.0,1920.0,-37.847,144.9936,0,0,1,0,1,0,0,0,1,0,0,1624000.0
2750,4822,4822,3,2016,4.5,2.0,2.0,1.0,1934.736111111111,92.0,1996.0,-37.8496,144.9905,0,0,1,1,0,0,0,0,1,0,0,794600.0
2751,4823,4823,3,2016,4.5,2.0,1.0,1.0,1934.736111111111,114.0,1900.0,-37.8516,144.9943,0,0,1,0,1,0,0,0,0,0,1,823600.0
2752,4824,4824,1,2016,4.5,1.0,1.0,1.0,1934.736111111111,51.0,1970.0,-37.8595,145.0076,0,0,1,0,0,0,0,1,1,0,0,382800.0
2753,4827,4827,3,2016,4.5,2.0,2.0,1.0,128.0,134.0,2000.0,-37.8526,145.0071,0,1,0,1,0,0,0,0,0,1,0,1444200.0
2754,4829,4829,2,2016,4.5,2.0,1.0,0.0,141.0,72.0,1900.0,-37.852,145.0061,1,0,0,0,1,0,0,0,0,1,0,1371700.0
2755,4830,4830,2,2016,4.5,2.0,1.0,0.0,288.0,160.0,1900.0,-37.8512,145.0053,1,0,0,0,1,0,0,0,0,0,1,1511480.0
2756,4832,4832,1,2016,4.5,2.0,1.0,1.0,443.0,50.0,1970.0,-37.8493,145.0006,0,0,1,0,0,0,1,0,0,0,1,559700.0
2757,4836,4836,2,2016,4.5,2.0,1.0,1.0,1934.736111111111,87.0,1960.0,-37.8581,145.0017,0,0,1,1,0,0,0,0,0,1,0,678600.0
2758,4837,4837,2,2016,4.5,2.0,1.0,1.0,1934.736111111111,135.0,2005.0,-37.8526,145.0033,1,0,0,0,1,0,0,0,0,1,0,1282960.0
2759,4839,4839,2,2016,4.5,2.0,1.0,2.0,308.0,107.0,1930.0,-37.8492,145.0019,1,0,0,0,1,0,0,0,0,1,0,1844399.9999999998
2760,4841,4841,2,2016,4.5,2.0,1.0,0.0,203.0,85.0,1900.0,-37.8557,145.0053,1,0,0,0,1,0,0,0,0,1,0,1223800.0
2761,4845,4845,3,2016,4.5,2.0,1.0,1.0,111.0,99.0,2001.0,-37.8525,145.0071,1,0,0,1,0,0,0,0,1,0,0,1276000.0
2762,4847,4847,2,2016,4.5,2.0,1.0,1.0,1934.736111111111,76.0,1888.0,-37.851,144.988,0,0,1,0,0,0,0,1,1,0,0,614800.0
2763,4850,4850,2,2016,4.5,2.0,1.0,2.0,222.0,108.0,1930.0,-37.8501,144.9995,1,0,0,0,0,0,0,1,0,0,1,1739999.9999999998
2764,4852,4852,2,2017,4.5,2.0,2.0,1.0,1934.736111111111,101.0,1850.0,-37.847,144.9936,0,0,1,0,1,0,0,0,1,0,0,916690.0000000001
2765,4853,4853,2,2017,4.5,2.0,1.0,1.0,1934.736111111111,78.0,2004.0,-37.8588,145.0024,0,0,1,0,0,0,0,1,1,0,0,621300.0
2766,4857,4857,2,2017,4.5,2.0,1.0,1.0,1934.736111111111,71.0,2000.0,-37.8506,144.9919,0,0,1,0,1,0,0,0,0,0,1,610400.0
2767,4859,4859,2,2016,4.5,2.0,1.0,0.0,96.0,71.0,1880.0,-37.8501,144.9953,1,0,0,0,1,0,0,0,0,0,1,945399.9999999999
2768,4861,4861,2,2016,4.5,2.0,1.0,1.0,183.0,71.0,1930.0,-37.8543,145.0024,1,0,0,0,1,0,0,0,0,1,0,1055600.0
2769,4862,4862,3,2016,4.5,3.0,2.0,3.0,1958.0,98.0,1995.0,-37.8526,145.0106,0,1,0,0,0,0,0,1,0,1,0,1682000.0
2770,4863,4863,2,2016,4.5,2.0,2.0,1.0,113.0,104.0,1945.0,-37.8481,144.9869,0,1,0,0,1,0,0,0,1,0,0,1786399.9999999998
2771,4864,4864,3,2016,4.5,3.0,2.0,1.0,273.0,125.0,1890.0,-37.8544,145.0038,1,0,0,0,1,0,0,0,0,1,0,2100760.0
2772,4865,4865,2,2016,4.5,2.0,1.0,0.0,214.0,215.0,1900.0,-37.8577,145.0053,1,0,0,0,1,0,0,0,1,0,0,1368800.0
2773,4868,4868,3,2017,4.5,3.0,2.0,2.0,183.0,200.0,1999.0,-37.8562,145.0042,1,0,0,0,1,0,0,0,0,1,0,1874800.0000000002
2774,4869,4869,3,2017,4.5,3.0,2.0,1.0,8216.0,130.0,1995.0,-37.85,144.9876,1,0,0,0,1,0,0,0,0,1,0,1144500.0
2775,4870,4870,2,2017,4.5,2.0,1.0,0.0,214.0,122.0,1915.0,-37.8572,145.0066,1,0,0,0,1,0,0,0,0,1,0,1724380.0000000002
2776,4872,4872,2,2016,4.5,2.0,2.0,1.0,1934.736111111111,95.0,1995.0,-37.8598,145.0097,0,0,1,0,1,0,0,0,0,0,1,789960.0
2777,4874,4874,2,2016,4.5,2.0,1.0,1.0,131.0,79.0,1900.0,-37.8479,144.9988,1,0,0,0,1,0,0,0,1,0,0,1513800.0
2778,4875,4875,3,2016,4.5,3.0,1.0,1.0,231.0,124.0,1910.0,-37.8467,144.9894,1,0,0,0,1,0,0,0,0,1,0,1455800.0
2779,4876,4876,3,2016,4.5,2.0,2.0,2.0,238.0,153.0,1890.0,-37.8476,144.9892,1,0,0,0,1,0,0,0,0,1,0,2528800.0
2780,4878,4878,3,2016,4.5,3.0,2.0,1.0,272.0,163.0,1900.0,-37.8553,145.007,1,0,0,0,1,0,0,0,1,0,0,1995199.9999999998
2781,4880,4880,3,2016,4.5,3.0,2.0,1.0,112.0,100.0,1900.0,-37.8517,145.0056,1,0,0,0,1,0,0,0,1,0,0,1415200.0
2782,4883,4883,3,2016,4.5,3.0,2.0,0.0,146.0,139.0,1900.0,-37.8519,145.0055,1,0,0,0,1,0,0,0,1,0,0,1869919.9999999998
2783,4885,4885,3,2016,8.8,3.0,1.0,2.0,644.0,141.0,1980.0,-37.7419,145.0049,1,0,0,0,1,0,0,0,0,1,0,1450000.0
2784,4887,4887,4,2016,8.8,4.0,2.0,2.0,604.0,180.0,1920.0,-37.7369,144.9905,1,0,0,0,1,0,0,0,1,0,0,1078800.0
2785,4893,4893,3,2016,8.8,3.0,1.0,0.0,148.0,3.0,1950.0,-37.7428,145.0081,1,0,0,0,1,0,0,0,1,0,0,871159.9999999999
2786,4897,4897,3,2017,8.8,3.0,2.0,3.0,490.0,130.0,1954.9438775510205,-37.7413,145.0203,1,0,0,1,0,0,0,0,0,1,0,1199000.0
2787,4899,4899,2,2017,8.8,2.0,1.0,1.0,132.0,121.0,2009.0,-37.7343,145.0025,0,1,0,0,1,0,0,0,1,0,0,779350.0
2788,4900,4900,5,2017,8.8,5.0,5.0,3.0,199.0,5.0,1954.9438775510205,-37.7309,145.0151,1,0,0,1,0,0,0,0,1,0,0,686700.0
2789,4901,4901,2,2017,8.8,2.0,1.0,3.0,581.0,96.0,1950.0,-37.7508,145.0209,1,0,0,0,1,0,0,0,1,0,0,912330.0000000001
2790,4902,4902,3,2016,8.8,3.0,1.0,2.0,563.0,180.0,1918.0,-37.7318,145.0192,1,0,0,0,0,0,1,0,1,0,0,1102000.0
2791,4904,4904,3,2016,8.8,3.0,1.0,1.0,266.0,98.0,1990.0,-37.7322,145.0318,0,0,1,0,1,0,0,0,1,0,0,575360.0
2792,4907,4907,2,2016,8.8,2.0,1.0,1.0,360.0,360.0,1954.9438775510205,-37.7485,145.0025,1,0,0,1,0,0,0,0,0,0,1,754000.0
2793,4908,4908,2,2016,8.8,2.0,1.0,1.0,356.0,102.0,1940.0,-37.7384,145.0058,1,0,0,0,1,0,0,0,1,0,0,985999.9999999999
2794,4910,4910,2,2016,8.8,2.0,1.0,2.0,250.0,97.0,2005.0,-37.7373,145.0237,1,0,0,1,0,0,0,0,1,0,0,626400.0
2795,4911,4911,3,2016,8.8,3.0,1.0,2.0,566.0,143.0,1910.0,-37.7418,144.9934,1,0,0,0,1,0,0,0,1,0,0,1334000.0
2796,4914,4914,3,2016,8.8,3.0,1.0,2.0,493.0,87.0,1950.0,-37.7441,145.0221,1,0,0,0,1,0,0,0,1,0,0,713400.0
2797,4916,4916,3,2016,8.8,3.0,1.0,2.0,369.0,94.0,1950.0,-37.7359,144.985,1,0,0,0,1,0,0,0,1,0,0,852599.9999999999
2798,4920,4920,4,2016,8.8,4.0,2.0,2.0,1034.0,151.0,1950.0,-37.7379,144.9851,1,0,0,0,1,0,0,0,1,0,0,939599.9999999999
2799,4922,4922,2,2016,8.8,2.0,1.0,2.0,220.0,106.0,2005.0,-37.7442,145.0168,1,0,0,0,1,0,0,0,1,0,0,696000.0
2800,4929,4929,3,2016,8.8,3.0,2.0,2.0,143.0,3.0,1954.9438775510205,-37.7381,145.0116,1,0,0,1,0,0,0,0,1,0,0,1160000.0
2801,4931,4931,3,2016,8.8,3.0,1.0,2.0,452.0,129.0,1890.0,-37.7307,145.0094,1,0,0,0,1,0,0,0,1,0,0,1913999.9999999998
2802,4934,4934,3,2016,8.8,3.0,1.0,3.0,503.0,101.0,1950.0,-37.739,145.0238,1,0,0,0,0,0,0,1,1,0,0,696000.0
2803,4939,4939,2,2016,8.8,2.0,1.0,1.0,400.0,88.0,1955.0,-37.7352,144.9852,1,0,0,0,1,0,0,0,1,0,0,837520.0
2804,4941,4941,4,2016,8.8,4.0,3.0,2.0,654.0,150.0,1950.0,-37.7365,145.0173,1,0,0,0,0,0,1,0,1,0,0,1461600.0
2805,4944,4944,2,2016,8.8,2.0,1.0,1.0,117.0,73.0,1965.0,-37.7514,145.0118,0,0,1,0,1,0,0,0,1,0,0,562600.0
2806,4945,4945,3,2016,8.8,3.0,1.0,1.0,594.0,92.0,1960.0,-37.7512,145.017,1,0,0,0,1,0,0,0,1,0,0,800400.0
2807,4946,4946,2,2016,8.8,2.0,1.0,3.0,507.0,114.0,1910.0,-37.7437,144.9995,1,0,0,0,1,0,0,0,0,1,0,1235400.0
2808,4947,4947,3,2016,8.8,3.0,1.0,1.0,847.0,120.0,1965.0,-37.7279,144.9849,1,0,0,0,1,0,0,0,0,1,0,1392000.0
2809,4953,4953,2,2016,8.8,2.0,1.0,1.0,106.0,74.0,1970.0,-37.7306,144.9993,0,0,1,0,1,0,0,0,1,0,0,614800.0
2810,4954,4954,3,2016,8.8,3.0,1.0,1.0,472.0,147.0,1965.0,-37.745,145.0139,1,0,0,0,0,0,1,0,0,1,0,1043999.9999999999
2811,4955,4955,2,2016,8.8,2.0,1.0,1.0,214.0,85.0,1910.0,-37.7462,145.0044,1,0,0,1,0,0,0,0,1,0,0,812000.0
2812,4957,4957,2,2016,8.8,2.0,2.0,2.0,516.0,97.0,1935.0,-37.7497,145.011,1,0,0,0,0,0,1,0,1,0,0,1067200.0
2813,4960,4960,3,2016,8.8,3.0,2.0,1.0,479.0,121.0,1930.0,-37.7425,145.014,1,0,0,0,1,0,0,0,0,1,0,1136800.0
2814,4964,4964,2,2016,8.8,2.0,1.0,2.0,467.0,92.0,1950.0,-37.7345,144.9977,1,0,0,0,1,0,0,0,1,0,0,1027759.9999999999
2815,4965,4965,3,2016,8.8,3.0,1.0,1.0,487.0,189.0,1925.0,-37.7511,144.9907,1,0,0,1,0,0,0,0,0,1,0,1252800.0
2816,4967,4967,4,2017,8.8,4.0,2.0,2.0,559.0,217.0,1925.0,-37.7347,144.9966,1,0,0,0,0,0,0,1,1,0,0,1526000.0
2817,4968,4968,2,2017,8.8,2.0,1.0,1.0,113.0,90.0,2013.0,-37.7479,145.0153,0,1,0,0,1,0,0,0,0,1,0,719400.0
2818,4969,4969,2,2017,8.8,2.0,1.0,1.0,1954.9438775510205,65.0,1980.0,-37.7377,144.9899,0,0,1,0,1,0,0,0,1,0,0,475240.00000000006
2819,4970,4970,2,2017,8.8,2.0,1.0,2.0,479.0,85.0,1950.0,-37.733,144.9961,1,0,0,0,1,0,0,0,1,0,0,954840.0000000001
2820,4971,4971,2,2017,8.8,2.0,2.0,1.0,352.0,103.0,1950.0,-37.7495,145.0092,1,0,0,0,0,0,1,0,1,0,0,991900.0000000001
2821,4977,4977,3,2016,8.8,3.0,2.0,2.0,185.0,115.0,2005.0,-37.7287,144.9869,0,1,0,0,1,0,0,0,1,0,0,828240.0
2822,4978,4978,2,2016,8.8,2.0,2.0,1.0,76.0,129.0,2013.0,-37.7443,145.0015,1,0,0,0,1,0,0,0,1,0,0,893199.9999999999
